IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"26,051,000",2032,,,N,17,,,,,,,
2024,Tyndall Park Community Centre Addition,The proposed project involves the development of a full-sized gymnasium addition and related spaces to meet community program needs.,Community Services,Recreation,Project,$0,24%,5,"A Livable, Safe, Healthy, Happy City",Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,0,2025,,,N,7,,,,,,,
2024,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,"Funds budgeted are for the development and implementation of a CSO Master Plan as well as for sewer relief works associated with basement flooding and CSO mitigation including sewers, chambers, weirs, and other related works. Funds are also budgeted for monitoring and reporting programs as well as systems, pilot studies, land acquisition, and integration with other major sewer programs.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"30,000,000",0,2029,,,N,5,,,,,,,
2023,In Car Computing,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$7,207,000",100%,4,Leadership & Good Governance,Upgrade,,,,0,0,2028,,,,,,,,,,,
2024,Chief Peguis Trail Extension West - Main to Brookside,"The proposed project consists of the construction of a four-lane divided roadway from Main Street to Brookside Boulevard (Route 90), including overpasses at Main Street and McPhillips Street. It will include four intersections and three pedestrian and cycling overpasses, and improvements to the Kildonan Settlers Bridge to accommodate intersection improvements at Main Street and multi-use pathways on both sides of the roadway.",Public Works,Roads - Regional,Project,$0,0%,3,A Strong Economy,Growth,Rivergrove,North Kildonan,POINT (-97.1020623 49.95228626),0,0,2025,Growth-enabling infrastructure,,N,8,,,,,,,
2024,New Southeast Winnipeg Regional Recreation & Aquatic Centre,"Capital investment is required for a new regional indoor aquatic and recreation centre to serve southeast Winnipeg. The facility will include multi-purpose program space, leisure pool and lap pool to service current demands and future growth in southeast Winnipeg.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,0,2033,Growth-supportive infrastructure,,N,6,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,"$13,436,000",100%,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"1,736,000",0,2024,,,,,,,,,,,
2024,Regional and Local Street Renewal,"The Regional Street Renewal program includes the renewal and reconstruction of the City's regional streets, sidewalks and recreational walkways/paths, as well as incorporating pedestrian and cycling facilities on regional street renewal projects where identified in the Winnipeg Pedestrian and Cycling Strategies. The program also funds the condition rating of regional streets. The purpose of this program is to maintain the level of service, structural integrity, and rideability of the transportation infrastructure network.",Public Works,Roads - Regional,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"197,664,000",0,2032,,,Y,3,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,"$7,000,000",0%,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2024,,,N,4,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2033,,,N,20,,,,,,,
2024,Bus Radio and Intelligent Transportation System (ITS) Replacement,"This project will see the replacement of existing bus radio hardware, equipment, and Intelligent Transportation Systems (ITS). The project will include replacement of radios on the entire Transit fleet currently approaching the end of useful life.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2032,,,N,8,,,,,,,
2023,Community and Neighbourhood Parks,text,Public Works,Parks - Local,Program,"$50,320,000",39%,,Good Health & Well-Being,Renew,,,,"2,800,000",0,2027,,,,,,,,,,,
2024,Lift Station Upgrading: Station Rehabilitation,"This is a program for mitigating hydraulic, structural, safety, odour and aesthetic problems, as well as for undertaking capacity assessments for the 75 lift stations and associated force mains, gate chambers, and related works in the sewage collection system.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"7,000,000",0,2032,,,N,9,,,,,,,
2024,Electric Vehicles and Infrastructure,This annual program would fund replacement of approximately 16 vehicles with electric vehicles and supporting infrastructure.,Public Works,Multiple Organizational Support Services,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,"2,000,000",2029,,,N,4,,,,,,,
2024,Enterprise Resource Planning (ERP) Peoplesoft Renewal Program,"Human Resources, Finance and most or all City employees use PeopleSoft HR and Financials ERP modules that are at end of life. Short term support for the modules is provided by a third-party company.  The City needs additional functions, features and applications that are not available in the current PeopleSoft ERP modules. Many are also not available in the latest PeopleSoft updated versions and developing them will require customizations that are cost-prohibitive.",Innovation and Technology,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"7,843,000",0,2030,,,N,2,,,,,,,
2023,Regional Parks - Kilcona Park Master Plan Implementation,text,Public Works,Parks - Regional,Project,"$14,805,000",0%,4,Good Health & Well-Being,Upgrade,Kil-Cona Park,North Kildonan,POINT (-97.02240216 49.93267232),0,"6,482,000",2025,,,,,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2027,,,N,3,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,"$20,400,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2024,,,N,4,,,,,,,
2024,Route 90 Improvements - Taylor to Ness,"The proposed project involves the widening and reconstruction of Route 90 from four to six lanes from Ness Avenue to Taylor Avenue. Considerable interchange and bridge improvements are required, which will include rehabilitation and reconstruction of the St. James Bridges crossing the Assiniboine River and modifications to the Portage Avenue interchange.",Public Works,Roads - Regional,Project,$0,0%,5,A Strong Economy,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,0,2031,Growth-supportive infrastructure,,N,4,,,,,,,
2024,Digital Customer Solutions,This program will mature the existing Water and Waste Department's digital customer platforms (e.g. MyUtility and Lawyer Gateway). It will also provide new digital customer experiences.,Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"600,000",0,2031,,,N,2,,,,,,,
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,$0,50%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,3,,,,,,,
2023,Transition to Zero Emission Buses,text,Winnipeg Transit,Public Transit,Program,"$629,575,000",93%,,Environmental Resilience,Renew,,,,"100,908,000",0,2026,,,,,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,"$7,350,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2024,,,N,1,,,,,,,
2023,Community Centre Investment Fund (CCIF),text,Community Services,Recreation,Program,"$50,000,000",0%,,Good Health & Well-Being,Upgrade,,,,0,0,2027,,,,,,,,,,,
2023,Tree Replacement on Major Routes,text,Public Works,Urban Forests,Program,"$12,688,000",0%,,Environmental Resilience,Renew,,,,0,"1,698,000",2031,,,,,,,,,,,
2023,South Winnipeg Recreation Campus: Library & Site Development,text,Community Services,Libraries,Project,"$14,000,000",11%,5,Good Health & Well-Being,Growth,Waverley Heights,Waverley West,POINT (-97.16136642 49.80968945),"1,500,000",0,2026,Growth-supportive infrastructure,,,,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Power Supply and Headworks Facilities,,Water and Waste,Wastewater,Project,$0,100%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2030,Growth-enabling infrastructure,,N,11,,,,,,,
2023,Riverbank Stabilization Physical Asset Protection (RSPAP) Program,text,"Planning, Property & Development",Land Drainage & Flood Control,Program,"$198,000,000",0%,,Environmental Resilience,Upgrade,,,,0,"19,800,000",2026,,,,,,,,,,,
2023,Network Products Evergreen,text,Innovation and Technology,Multiple Organizational Support Services,Program,"$7,622,000",100%,,Economic Prosperity,Renew,,,,"492,000",0,2031,,,,,,,,,,,
2024,Parks and Recreation Enhancement Program,"Program is focused on playground restorations, including play equipment and safety surface replacements, along with associated amenity and pathway improvements to enhance accessibility, and other park and recreation enhancements.",Public Works,Parks - Local,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"1,275,000",0,2032,,,Y,1,,,,,,,
2023,Road Safety Strategy Implementation,text,Public Works,Roads - Regional,Program,"$21,790,000",0%,,Economic Prosperity,Upgrade,,,,0,"4,156,000",2025,,,,,,,,,,,
2024,Freight House Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition and lacks the capacity to adequately serve the needs of the community. The pool is located in an geographic area of higher needs and it does not meet current accessibility standards nor provide adequate play value and amenities to serve this community. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,$0,22%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Centennial,Point Douglas,POINT (-97.151199 49.905231),0,0,2031,,,Y,14,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"980,000",0,2027,,,N,4,,,,,,,
2024,Feeder Main Condition Assessment and Rehabilitation,"Feeder mains are specialized large diameter pipes used to convey drinking water throughout the City. The majority of feeder mains were installed in the 1960s and require inspection, testing, and maintenance to preserve the asset. Funds are for condition assessment and rehabilitation work, including structural assessments, inspections, purchase of testing equipment, replacement of valves and related components, structural repairs, valve chamber rehabilitation, and restoration works.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"450,000",0,2026,,,N,8,,,,,,,
2024,Local Area Planning Program,Local Area Planning Program will provide a budget for new local area plan projects and the next OurWinnipeg development plan review. The program will last for a ten-year period from 2024 through 2033 and allow for the bundling of multiple low-risk small projects over time and provide the City with greater capacity to manage growth and meet the goals outlined in OurWinnipeg 2045 and Complete Communities 2.0,"Planning, Property & Development",City Planning,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,"1,072,000",2027,,,N,1,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2027,,,N,9,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,"$368,500,000",100%,,Environmental Resilience,Upgrade,,,,"33,500,000",0,2032,,,,,,,,,,,
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,$0,100%,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),"7,686,000",0,2025,,,N,1,,,,,,,
2023,Transit Roof Replacement and Ventilation Upgrade,text,Winnipeg Transit,Public Transit,Program,"$7,300,000",100%,,City Building,Upgrade,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"2,500,000",0,2025,,,,,,,,,,,
2024,Work and Asset Management Program,"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Wastewater,Program,$0,62%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"650,000","950,000",2026,,,N,3,,,,,,,
2024,Spray Pad Investment Fund,Capital investment is required to construct new spray pads to address service gaps and replace and/or decommission end of service life wading pools. Selected locations will be in alignment with the customer levels of service defined in the Council adopted Wading Pool Rationalization & Spray Pad Reinvestment Strategy and the Winnipeg Recreation Strategy.,Community Services,Recreation,Program,$0,58%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,"4,000,000",0,2028,,,Y,10,,,,,,,
2024,Indoor Aquatics and Rec Centres Capital Renewal Program,"The indoor aquatic and recreation centre capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 12 indoor aquatic and recreation centres owned and operated by the City of Winnipeg. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects, and other interior improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"20,563,000",2030,,,N,13,,,,,,,
2023,Arena Twinning Project (City Contribution for EOI/RFP),text,Community Services,Recreation,Project,"$10,000,000",0%,5,Good Health & Well-Being,Growth,Grant Park,River Heights - Fort Garry,POINT (-97.16866231 49.85565765),0,"10,000,000",2027,,,,,,,,,,,
2023,Police Headquarters Information System Upgrades,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$5,350,000",100%,4,Leadership & Good Governance,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),0,0,2029,,,,,,,,,,,
2023,Vacuum Truck Decanting Facility,text,Water and Waste,Wastewater,Project,"$6,250,000",100%,3,Environmental Resilience,Growth,,,,"200,000",0,2023,,,,,,,,,,,
2024,Rapid Transit Construction,Construction of future Rapid Transit Corridors identified in the Winnipeg Transit Master Plan. Costs identified include the first four of eight potential corridors.,Winnipeg Transit,Public Transit,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,"101,374,000",2033,,,N,10,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2028,,,N,1,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),"3,100,000",0,2026,,,N,1,,,,,,,
2023,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),text,Public Works,Bridges - Regional,Project,"$37,742,000",100%,5,Good Health & Well-Being,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),"2,000,000",0,2024,,,,,,,,,,,
2024,Pumping Stations and Reservoirs Structural Upgrades: General,"The McPhillips, Wilkes and MacLean reservoirs provide balancing storage to meet fluctuating daily water demands; the McPhillips, Hurst, and MacLean pumping stations provide the final pumping to deliver water to the water utility customers. These pump stations and reservoirs were constructed in the early 1960s. It is anticipated that the building structures will require upgrading to ensure the uninterrupted operation of these pumping facilities.  Condition assessments will be undertaken at the reservoirs to identify any repairs needed to ensure the reservoirs remain operational for the next 50 years. Additional investments in the pumping stations and reservoirs will be put forward as a result of the condition assessments.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"2,000,000",0,2030,,,N,9,,,,,,,
2023,Osborne Street Underpass,text,Public Works,Roads - Regional,Project,"$46,053,000",0%,3,Environmental Resilience,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),"1,100,000",0,2025,,,,,,,,,,,
2024,Communities Fund,"Funding in each year will be divided equally between each of the fifteen wards. Program details, policy, eligibility, reporting requirements, etc. of this new program will be communicated later or through the budget recommendations.",Council,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"1,050,000",0,2026,,,N,7,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"6,000,000",0,2026,,,,,,,,,,,
2024,Transition to Zero Emission Buses,"This multi-year program is for the transition from diesel to zero emission buses plus the associated charging/fueling infrastructure required to support a full transition to a zero emission fleet. Future bus and infrastructure purchases are planned based on needs, funding, and climate goals.",Winnipeg Transit,Public Transit,Program,$0,48%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"35,000,000","71,133,000",2030,,,N,9,,,,,,,
2024,Digital Enablement,"This program will develop and implement technology solutions that can be leveraged by plant and field employees to perform their work more effectively and efficiently, and provide timely information to the public and 311. This will increase productivity by reducing manual effort, improve accessibility to information, improve accuracy and quality of information, reduce time to record and retrieve information, improve communication, and improve customer service and experience.",Innovation and Technology,Water,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"1,500,000",0,2028,,,N,4,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,"$1,737,705,000",100%,,Leadership & Good Governance,Renew,,,,"159,042,000",0,2023,,,,,,,,,,,
2024,Henderson Hwy N of Gilmore to City Limit,"This project involves urbanization of the roadway, provision of pedestrian and cycling accommodation, introduction of a median and associated access management. Replacement of the existing box culvert at the Bunn's Creek crossing with a water control chamber may be considered.",Public Works,Roads - Regional,Project,$0,0%,5,A City that Works for Residents through Improved Customer Service,Growth,River East,North Kildonan,POINT (-97.08013119 49.95064192),0,"1,458,000",2028,,,N,9,,,,,,,
2024,Water Treatment Plant Asset Refurbishment and Replacement Program,The Winnipeg Drinking Water Treatment Plant provides treated drinking water to the City of Winnipeg. The continued upkeep and maintenance of the Winnipeg Drinking Water Treatment Plant's assets is required to ensure a continuous supply of water. An asset refurbishment and replacement plan has been developed to address asset lifecycle issues at the water treatment plant as they arise.,Water and Waste,Water,Program,"$33,800,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"2,000,000",0,2024,,,N,14,,,,,,,
2024,Fleet Asset Acquisitions,"This program funds fleet asset acquisitions which are based on the Winnipeg Fleet Management Agency (WFMA) 2024 to 2027 fleet replacement plan, and are subject to future revision due to WFMA and City department decisions and vendor availability.",Public Works,Multiple Organizational Support Services,Program,$0,43%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"15,670,000","25,166,000",2031,,,N,5,,,,,,,
2023,Parks Buildings - Agreements,text,Public Works,Parks - Local,Program,"$12,311,000",0%,,Good Health & Well-Being,Renew,,,,0,"78,000",2025,,,,,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,"$339,700,000",0%,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,"84,700,000",2028,,,,,,,,,,,
2023,Louise Bridge Replacement,text,Public Works,Bridges - Regional,Project,"$160,699,000",0%,5,City Building,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,"10,042,000",2029,,,,,,,,,,,
2023,Parks Buildings - City Operated,text,Public Works,Parks - Regional,Program,"$9,378,000",0%,,Leadership & Good Governance,Renew,,,,0,"1,500,000",2032,,,,,,,,,,,
2024,Community Centre Renovation Grant Program (CCRGP),"Dedicated grant funding for renovation projects at City-owned, board-run community centres in order to maintain and/or improve community centre infrastructure.",Community Services,Recreation,Commitment,$0,83%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"2,000,000","1,000,000",2030,,,N,21,,,,,,,
2024,Computer Aided Mass Appraisal (CAMA) System Detailed Analysis and Implementation,Computer Aided Mass Appraisal System (CAMA) is an automated system used by the Assessment and Taxation Department for maintaining property data and valuing all real and business properties within the City of Winnipeg for the purpose of ensuring equitable taxation.,Assessment & Taxation,Assessment & Taxation,Project,$0,100%,3,Corporate Management and Support,Renew,,,,0,0,2025,,,N,1,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,"$15,000,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"1,500,000",0,2024,,,N,1,,,,,,,
2023,Water Treatment Plant Asset Refurbishment and Replacement Program,text,Water and Waste,Water,Program,"$29,650,000",100%,,Environmental Resilience,Renew,,,,"2,200,000",0,2023,,,,,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,"$282,132,000",56%,,Economic Prosperity,Operations & Maintenance,,,,"15,670,000","19,294,000",2025,,,,,,,,,,,
2024,Sewer Renewals,"This is a program to replace and/or rehabilitate combined, wastewater, and land drainage sewer infrastructure that are no longer meeting level of service objectives. A portion of the funding will be used for condition assessment of sewer assets; sewers will be replaced or rehabilitated using appropriate technologies on a risk-based level of service basis. Funds will also be utilized to update the sewer asset register, and ongoing operating costs associated with software licensing and maintenance have been included in the operating budget.",Water and Waste,Wastewater,Program,"$257,000,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"21,000,000",0,2024,,,N,17,,,,,,,
2024,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),This project includes major rehabilitation of the Lagimodiere Twin Overpasses over Concordia Avenue and the Canadian Pacific Railway (CPR) Keewatin rail lines. Improvements to traffic capacity and roadside safety will be determined as part of a preliminary design study.,Public Works,Bridges - Regional,Project,$0,100%,5,A City that Works for Residents through Improved Customer Service,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),"20,000,000",0,2026,,,N,5,,,,,,,
2023,Urban Forest Renewal Program,text,Public Works,Urban Forests,Program,"$120,481,000",67%,,Environmental Resilience,Operations & Maintenance,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.095599 49.901885),"9,600,000","2,257,000",2028,,,,,,,,,,,
2024,Wastewater Services Facilities Plan,"The Wastewater Services Facilities Plan will evaluate options to consolidate or centralize various buildings used by the Wastewater Services Division, including mechanical and maintenance shops, storage facilities, and offices. These facilities are currently spread out over multiple sites.",Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2026,,,N,10,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2026,,,N,9,,,,,,,
2024,Route 90 Improvements - Taylor to Ness,"The proposed project involves the widening and reconstruction of Route 90 from four to six lanes from Ness Avenue to Taylor Avenue. Considerable interchange and bridge improvements are required, which will include rehabilitation and reconstruction of the St. James Bridges crossing the Assiniboine River and modifications to the Portage Avenue interchange.",Public Works,Roads - Regional,Project,$0,0%,5,A Strong Economy,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,"124,584,000",2028,Growth-supportive infrastructure,,N,4,,,,,,,
2024,Outdoor Pools Capital Renewal Program,"The outdoor pool capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 outdoor pools owned and operated by the City of Winnipeg. Projects may include deck and tank repairs, replacement of pool liners, renewal of play components and amenities, improvements to filtration, mechanical, HVAC, and electrical systems, accessibility improvements, and improvements to pool buildings or amenities.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"2,416,000",2031,,,N,11,,,,,,,
