MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Jennifer Wyness,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council direct Administration to ;shift 0.25 per cent in tax share from non-residential to residential properties in each of the next 8 years starting in 2027 as part of the 2027-2030 Budget Cycle. ;",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Kim Tyers,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council direct Administration to ;shift 0.25 per cent in tax share from non-residential to residential properties in each of the next 8 years starting in 2027 as part of the 2027-2030 Budget Cycle. ;",Jennifer Wyness,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Andrew Yule,No,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Andre Chabot,No,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Kim Tyers,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Dan McLean,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Andre Chabot,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"i. $3.0 million to the Heritage Incentive Reserve; and
ii. $5.0 million to the Heritage Calgary Reserve Fund;
x. ;That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes; ;



y. Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged;
2. Give three readings to Proposed Bylaw 51M2025 in Attachment 2; and
3. Direct that the Closed Meeting discussions remain confidential pursuant to Sections 19 (Disclosure harmful to business interests of a third party) and 29 (Advice from officials) of the Access to Information Act.",DJ Kelly,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to collaborate with the Real Estate Sector Advisory Committee (RESAC) of Calgary Economic Development to review the Terms of Reference for the Downtown Calgary Development Incentive Program and report back on the following suggestions to Executive Committee of Council no later than Q2 2026 with recommendations to: ;



Review the maximum eligible funding limit per project; ;
Examine alternative methods of delivering incentives to encourage conversions beyond per square footage incentives;
Include a base rate of return threshold that the City is expected to generate after conversion based on incremental property taxes divided by amount of grant for each project; and ;
Explore creation of the option for a competitive process for applicants to propose a rate per square foot specific to their conversion project up to a maximum of $60 per square foot for residential conversions and up to $75 per square foot for non-residential conversions. ;",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",DJ Kelly,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Landon Johnston,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:



Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and



Report to return to Council on or before end of Q1 2026.",DJ Kelly,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Kim Tyers,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $300,000 of capital budget to Operational Services funded by the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged for tenant improvements for accessibility features including, but not limited to, the east entrance at the West Hillhurst Civic Centre Renovation to the Recreation Facility Lifecycle (A405701) activity in 2026",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Rob Ward,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:



Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and



Report to return to Council on or before end of Q1 2026.",Rajdeep Dhaliwal,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to collaborate with the Real Estate Sector Advisory Committee (RESAC) of Calgary Economic Development to review the Terms of Reference for the Downtown Calgary Development Incentive Program and report back on the following suggestions to Executive Committee of Council no later than Q2 2026 with recommendations to: ;



Review the maximum eligible funding limit per project; ;
Examine alternative methods of delivering incentives to encourage conversions beyond per square footage incentives;
Include a base rate of return threshold that the City is expected to generate after conversion based on incremental property taxes divided by amount of grant for each project; and ;
Explore creation of the option for a competitive process for applicants to propose a rate per square foot specific to their conversion project up to a maximum of $60 per square foot for residential conversions and up to $75 per square foot for non-residential conversions. ;",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:



Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and



Report to return to Council on or before end of Q1 2026.",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Dan McLean,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Mike Jamieson,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Jennifer Wyness,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $300,000 of capital budget to Operational Services funded by the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged for tenant improvements for accessibility features including, but not limited to, the east entrance at the West Hillhurst Civic Centre Renovation to the Recreation Facility Lifecycle (A405701) activity in 2026",Jennifer Wyness,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Rob Ward,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"i. $3.0 million to the Heritage Incentive Reserve; and
ii. $5.0 million to the Heritage Calgary Reserve Fund;
x. ;That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes; ;



y. Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged;
2. Give three readings to Proposed Bylaw 51M2025 in Attachment 2; and
3. Direct that the Closed Meeting discussions remain confidential pursuant to Sections 19 (Disclosure harmful to business interests of a third party) and 29 (Advice from officials) of the Access to Information Act.",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council direct Administration to ;shift 0.25 per cent in tax share from non-residential to residential properties in each of the next 8 years starting in 2027 as part of the 2027-2030 Budget Cycle. ;",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Kim Tyers,Yes,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-12-03,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;



a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Mike Jamieson,Yes,MOTION CARRIED
